135;Ako'y binago niya;A;"Nung una, ang akala ko
Ang buhay ko ay di na magbabago
At kahit, ano pang gawin
Ako'y bumabalik sa maling gawain

Marami na akong sinubukan
Kung sino-sinong nilapitan
Nang halos Ako ay sumuko na
Si Hesus ay nakilala... 

Ang aking Buhay ay binago Niya
Magmula nang ako'y magpasya
Sa ating puso'y pag hariin Siya
Anong himala, Ako'y nag-iba

Kasalanan ko ay pinatawad
Ginawang Anak Niya
Sa langit pupunta
O Kaybuti ng Diyos at ako'y binago Niya

Lumipas ang mga taon
Lalong naging tapat ang Panginoon
Sa aking mga pagkukulang
Siya ang nagtutuwid sa aking daan

Kung iisipin ko lamang
Sa kahapon ko siya ang kulang
Sa aking mga kailangan
Higit Siya sa sino pa man

Ang aking Buhay ay binago Niya
Magmula nang ako'y magpasya
Sa ating puso'y pag hariin Siya
Anong himala, Ako'y nag-iba

Kasalanan ko ay pinatawad
Ginawang Anak Niya
Sa langit pupunta
O Kaybuti ng Diyos at ako'y binago Niya"
236;Amache oreng'ung';;"Amache oreng'ung'
Agot ngo mi nyalil.
'Ngomuta e-ung'ung'
Amu a lakweng'ung'.

Agot ngo uui oret
Amache mageng'ung';
Anan ngo nyamnyum kot
Abaibai asibun.

Maganye awo tai
Ngo meborua oret.
I-ng'ang'wa mageng'ung'
Asi Ko machiliil.

Lewenwa orennyu
Koboto choronok.
Baiywa eng' boisienyu
I Bo-unindennyu.

Indoiywa kotugul;
Amite e-ung'ung'
I Kando-indennyu
kota amite ng'ony."
239;Amang Banal;;"Amang Banal
Luha ko'y pinapawi mo na Oh Dios
Amang Banal
Kagalakan ko Sayo'y lubos lubos
Amang Banal"
294;Ang Awit Ko/ My Song;;"Sa aking pag-iisa 
ay naaalala Ka
Ang kalooban Mo 
ay binubulay ko
Magpupuri sa Iyo 
di lang sa awit kong ito
Itakwil man ako 
ng mundong ito

Panginoon, 
Narito ang puso kong bukas
Ba't ako maglilihim sa Iyo
Batid Mo ang lahat sa buhay ko
Kaluluwa ko, lagi nang naghahanap sa Iyo
Ang tanging hangad ng puso ko
Ay paglingkuran Ka.

Aking itataas 
Ang Ngalan Mo Hesus
Pagka't dakila Ka, 
di ka nag-iiba
Kaluwalhatian mo 
ay sapat sa buhay ko
Itakwil man ako 
ng mundong ito

Panginoon, 
Narito ang puso kong bukas
Ba't ako maglilihim sa Iyo
Batid Mo ang lahat sa buhay ko
Kaluluwa ko, lagi nang naghahanap sa Iyo
Ang tanging hangad ng puso ko
Ay paglingkuran Ka.

Oh Lord my God
Won't You look into my open heart
I can never never hide from You
You know me so well
You know my life
Take all of me, Lord
I commit my very soul to You
And whatever I say and do 
Glorify Your name"
295;Ang Tanging  Alay Ko;;"Salamat sa Iyo, 
aking Panginoong Hesus
Ako'y inibig Mo, 
at inangking lubos

Ang tanging alay ko sa Iyo aking Ama
Ang buong buhay ko, puso't kaluluwa
Di ko makayanang makapagkaloob
Mamahaling hiyas, ni gintong nilukob
Ang tanging dalangin O Diyos ay tanggapin
Ang tanging alay ko nawa ay gamitin
Ito lamang Ama wala nang iba pa 
Akong hinihiling.

Di ko akalain 
ako ay binigyang pansin
Ang taong tulad ko'y 
di dapat mahalin

Ang tanging alay ko sa Iyo aking Ama
Ang buong buhay ko, puso't kaluluwa
Ai ko makayanang makapagkaloob
Mamahaling hiyas, ni gintong nilukob
Ang tanging dalangin O Diyos ay tanggapin
Ang tanging alay ko nawa ay gamitin
Ito lamang Ama wala nang iba pa 
Akong hinihiling.

Aking hinihintay 
ang Iyong pagbabalik Hesus
Ang makapiling Ka'y 
kagalakang lubos.

Ang tanging alay ko sa Iyo aking Ama
Ang buong buhay ko, puso't kaluluwa
Ai ko makayanang makapagkaloob
Mamahaling hiyas, ni gintong nilukob
Ang tanging dalangin O Diyos ay tanggapin
Ang tanging alay ko nawa ay gamitin
Ito lamang Ama wala nang iba pa 
Akong hinihiling."
343;Araw ng kaligtasan;;"Sa ano ka nabubuhay, mahal na kaibigan
Sa Diyos ba o sa pansarili lamang?
Saan ka patungo sa langit o impierno
Isipin mo ito kaibigan ko

Ngayon ang araw ng kaligtasan mo, kaibigan ko
Maaaring ang bukas ay di na darating
Buhay mo'y madaling lilipas at mag wawakas
kaligtasan ay nasa Diyos lamang

Ika'y naging tao, mahal na kaibigan
Upang maglingkod sa Diyos lamang
Hanapin mo ang daan, tungo sa kaligtasan
Makamtan ang buhay na walang hanggan

Ngayon ang araw ng kaligtasan mo, kaibigan ko
Maaaring ang bukas ay di na darating
Buhay mo'y madaling lilipas at mag wawakas
kaligtasan ay nasa Diyos lamang

Magpasya ka ngayon habang may panahon
Alinlanga'y pawiin mo ngayon
Huwag kang magpaliban
Huwag kang mag-alangan
Pinto ng iyong puso ay buksan

Ngayon ang araw ng kaligtasan mo, kaibigan ko
Maaaring ang bukas ay di na darating
Buhay mo'y madaling lilipas at mag wawakas
kaligtasan ay nasa Diyos lamang"
439;Awit ng Pasasalamat;;"Kaybuti ng Panginoon
Ang tulad ko'y binigyan N'ya ng buhay
Napuno ng kulay
Wala na akong mahihiling
Dahil sa handog Niyang walang katulad,
Na mga magulang

Kapag ako'y nalulumbay, 
handa akong kalingain
Kapag ako'y nagkukulang, 
unawa ang laan sa'kin

Salamat sa Panginoon 'pagkat binigyan N'ya ako 
Ng mga magulang na lubos lubos ang pagsinta
Kutulad ng Pag-ibig ni Hesus 
sa mundong ito
Salamat Oh Panginoon para sa aking 
Ama't Ina.

Purihin ang Panginoon
Sa buhay ng aking mga magulang 
'di Sya nagkulang
Dahil sa kanilang buhay 
Ang aral ni Hesus ay natutunan, 
ipinamuhay

Kaya't sa aking pagtanda, 
ang aral ay dala dala
Ang bilin ni Ama't Ina 
sa puso'y iuukit na.

Salamat sa Panginoon 'pagkat binigyan N'ya ako 
Ng mga magulang na lubos lubos ang pagsinta
Kutulad ng Pag-ibig ni Hesus 
sa mundong ito
Salamat Oh Panginoon para sa aking 
Ama't Ina."
460;Babad sa Presensya Mo;;"Kay sarap sarap pa rin sa Iyo Panginoon
Ang mga pagpapala Mo ay lubus lubos
Minsan ang aming kaawa'y
Pilit na tinatangay ang damdamin
At sa aming pagpupuri
Ako'y lubos...
na nagtagumpay

Ang kailangan lang ay
Babad sa presensya mo
Babad sa Iyong salita
Babad ang sikreto ko
Kung bakit ako masaya
Babad sa presensya mo
Babad sa Iyong salita
Tulad ng isang usa
ako'y laging uhaw sayo

Mahal na mahal kita Panginoon (2x)
Kailanma'y di kita ipagpapalit
Pagka't sa piling mo'y langit
Mahal na mahal kita Panginoon.

Habang buhay, papupurihan ka
Habambuhay, maglilingkod sa'yo
Habang buhay, papuri ko'y sayo'y iaalay"
467;Bagong Damit;;"Dito pa lang sa mundong ito
Ay kailangan na ng pagbabago
Kung ninanais mong marating ang langit
Ay magbihis ka na ng bagong damit
Damit na mayroong kabanalan
At di kilanman dapat na dungisan
Ng salot at putik ng sanlibutan
Na tinatawag na kasalanan

Tanging doon sa ninanais mong
Pupuntahang paraiso
Di tulad ito kung ihahambing mo
Sa tinitirhan nating mundo
Malinis duon ang kapaligiran
Magkakapatid doon ang turingan
At doon nananahan ang kapayapaan
At ang buhay na walang hangganan

Kaya't dito pa lang sa mundong ito
Ayusin mo na ang buhay mo
Itakwil na ang mga dating bisyo
Alak, sugal at sigarilyo, wooowoo
Isuko mo na ang sarili mo
Sa Kanya na nagbigay ng buhay mo
Kung ninanais mong marating ang langit
Ay magbihis ka ng bagong damit

Tanging doon sa ninanais mong
Pupuntahang paraiso
Di tulad ito kung ihahambing mo
Sa tinitirhan nating mundo
Malinis duon ang kapaligiran
Magkakapatid doon ang turingan
At doon nananahan ang kapayapaan
At ang buhay na walang hangganan

Kaya't dito pa lang sa mundong ito
Ayusin mo na ang buhay mo
Itakwil na ang mga dating bisyo
Alak, sugal at sigarilyo, wooowoo
Isuko mo na ang sarili mo
Sa Kanya na nagbigay ng buhay mo
Kung ninanais mong marating ang langit
Ay magbihis ka ng bagong damit
Bagong dami--iit, ha ah aha, (2x) bagong damit"
469;Bakit nga ba?;;"Bakit nga ba pinupuri Kita?
bakit nga ba sinasamba ka?
bakit nga ba pinaglilingkuran?
at bakit pinasasalamatan?

Nais ko'y ibigin Ka
hindi dahil sa pagpapala
Ang nais ko'y ibigin Ka
hindi dahil sa himala
nais ko'y ibigin Ka
dahil sa Ikaw ay Ikaw
Mahal kita oh Dios walang iba

Sa buhay ko Ikaw lang talaga
Mamahalin bibigyang halaga
Buhay kong magulo ay
Iyong binago 
Kaya't sa Iyo ito'y alay ko

Nais ko'y ibigin Ka
hindi dahil sa pagpapala
nais ko'y ibigin Ka
hindi dahil sa himala
nais ko'y ibigin Ka
dahil sa Ikaw ay Ikaw
Mahal kita oh Dios walang iba"
472;Banal na Tahanan;C / G;"Ang puso ko'y 
dumudulog sa Iyo
Nagpapakumbaba't 
nagsusumamo
Paging dapatin mong 
Ikaw ay mamasdan
Makaniig Ka at sa Iyo ay pumisan

Ang puso ko'y 
dumudulog sa Iyo
Nagpapakumbaba't 
nagsusumamo
Paging dapatin mong 
Ikaw ay mamasdan
Makaniig Ka at sa Iyo ay pumisan

Loobin mo ang buhay ko'y 
maging banal mong tahanan
luklukan ng iyong wagas na pagsinta
daluyan ng walang hanggang 
mga papuri't pagsamba
maghari ka O Diyos 
ngayon at kailan man

Ang puso ko'y 
dumudulog sa Iyo
Nagpapakumbaba't 
nagsusumamo
Paging dapatin mong 
Ikaw ay mamasdan
Makaniig Ka at 
sa Iyo ay pumisan

Loobin mo ang buhay ko'y 
maging banal mong tahanan
luklukan ng iyong 
wagas na pagsinta
daluyan ng walang hanggang 
mga papuri't pagsamba
maghari ka O Diyos 
ngayon at kailan man"
612;Biyaya Nya'y sapat;;"isip ko'y namamangha sa pagpapala Mo
at sa biyayang sapat sa kahinaan ko
araw araw, o Hesus sa lahat ng dako
biyaya Mo ay namamalas ko

isip ko'y namamangha sa pagpapala Mo
at sa biyayang sapat sa kahinaan ko
araw araw, o Hesus sa lahat ng dako
biyaya Mo ay namamalas ko

biyaya Mo'y sapat sa pangangailangan ng lahat
Pag ibig Mo'y  wagas kailan man di magwawakas
buong mundo may maghirap
pagpapala Mo'y laging sapat
dapat nga lang makilala Ka ng lahat

lagi akong umaasa sa mga pangako Mo 
na sa'kin ka at ako'y di na mangangamba
tutugunin lagi lahat ng suliranin ko
pati na ang hangarin ng pusong ito

biyaya Mo'y sapat sa pangangailangan ng lahat
Pag ibig Mo'y  wagas kailan man di magwawakas
buong mundo may maghirap
pagpapala Mo'y laging sapat
dapat nga lang makilala Ka ng lahat"
717;Buhay Mo, Buhay Ko;;"Nais mo mang dugtungan
Wala ka ring magagawa
Nais mo mang kitilin
Ito'y lalong kasalanan
Nais mo mang hawakan
Nang wala'ng patnubay Niya
Ngunit ang katotohanan
Wala ka ring magagawa

Iyan ang buhay mo, Iyan ang buhay ko
Buhay na ipinagkaloob ng Diyos sa iyo
Siya ang nagbigay at Siya lang
ang may karapatan
Na bawiin mula sa iyo ang hiniram mo lang (3x)

Ibig mo mang magtampo
Hinding-hindi Siya susuko
Pagkat alam na alam Niya
Ang kahihinatnan mo
Kung di ka sa langit
Saan ka patungo?
Iyan ang dapat mong isipin O tao

Iyan ang buhay mo, Iyan ang buhay ko
Buhay na ipinagkaloob ng Diyos sa iyo
Siya ang nagbigay at Siya lang
ang may karapatan
Na bawiin mula sa iyo ang hiniram mo lang

Makamtan mo man ang lahat
Ng iyong nanaisin
Kung wala naman sa iyo ang
Panginoon natin
Darating din ang araw
Na pagsisisihan mo
Kung ano ang naging buhay mo
Sa mundong ito

Iyan ang buhay mo, Iyan ang buhay ko
Buhay na ipinagkaloob ng Diyos sa iyo
Siya ang nagbigay at Siya lang
ang may karapatan
Na bawiin mula sa iyo ang hiniram mo lang
Na bawiin mula sa iyo ang hiniram mo lang"
1068;Dahil sinabi mo;C;"Walang hanganan hindi magbabago
Kaylan man sa habang panahon
Ang iyong salita Panginoon

Mga halaman ay natuyo
Langit at lupa ay maglalaho
Ngunit tapat lahat ang sinabi mo

Karamdaman ko ay mapapawi
Suliranin ko ay magagapi
Kalayaan mararanasan ko
Dahil sinabi mo

Kasalanan ko ay patatawarin
Panalangin ko ay iyong didingin
Ang pagtitiwala ko sayo 
Dahl sinabi mo 
dahil sinabi mo

Walang hanganan hindi magbabago
Kaylan man sa habang panahon
Ang iyong salita Panginoon

Mga halaman ay natuyo
Langit at lupa ay maglalaho
Ngunit tapat lahat ang sinabi mo

Karamdaman ko ay mapapawi
Suliranin ko ay magagapi
Kalayaan mararanasan ko
Dahil sinabi mo

Kasalanan ko ay patatawarin
Panalangin ko ay iyong didingin
Ang pagtitiwala ko sayo 
Dahl sinabi mo 
dahil sinabi mo"
1071;Dakila ang Panginoon;;"Dakila ang Panginoon
Laging handang tumulong
Huwag lamang mag-alinlangan
Ibibigay lahat ng kailangan

Ang dapat lang nating gawin
Lagi taung manalangin
Araw gabi siya purihin
Lahat ng utos ay sundin

Talikdan ang kasalanan
Mamuhay sa kabanalan
Mga bisyo't kalayawan
Iwaksi sa isipan

Ang kapwa mo ay mahalin
Kaya paa'y panatilihin
Mga liko na gawain
Sa buong buhay mo ay alisin

Dakilang Diyos papurihan
At laging pasalamatan
Sa oagpapalang nakamtan
At sa biyaya araw-araw

Talikdan ang kasalanan
Mamuhay sa kabanalan
Mga bisyo't kalayawan
Iwaksi sa isipan"
1072;Dakila Ka;;"Dakila Ka
Dakila Ka
Tunay kang, Dios ng pag-ibig
Dahil sa sala ko, Ikaw ay nagdusa
Tunay kang Panginoon"
1073;Dakilang Katapatan;C;"Sadyang kay buti 
ng ating Panginoon
Nagtatapat sa 
habang panahon
Maging sa kabila man 
na ating pagkukulang
Biyaya Niya'y patuloy na laan

Katulad ng pagsikat 
ng gintong araw
Patuloy Siyang
Nagbibigay tanglaw
Kaya't sa puso ko't damdamin
Katapatan Mo'y
Aking pupurihin

Dakila Ka O Dios
Tapat Ka ngang tunay
Magmula pa sa ugat
Ng aming lahi
Mundo'y magunaw man
Maaasahan kang lagi
Maging hanggang wakas
Nitong buhay

Kaya O Dios Ika'y
Aking pupurihin
Sa buong mundo'y 
Aking aawitin
Dakila ang Iyong
Katapatan
Pag-ibig Mo'y
Walang hanggan

Dakila Ka O Dios
Tapat Ka ngang tunay
Magmula pa sa ugat
Ng aming lahi
Mundo'y magunaw man
Maaasahan kang lagi
Maging hanggang wakas
Nitong buhay

Dakila Ka O Dios
Sa habang panahon
Katapatan Mo'y 
Matibay na sandigan
Sa bawat pighati
 Tagumpay man ay naroon
Daluyan ng pag-asa
Kung kailanga'y hinahon
Pag-ibig Mo'y alay sa amin 
mula noon hanggang ngayon
Dakila Ka. O Dios"
1074;DAKILANG MANGINGIBIG;;"Si Jesus kung umibig ay tunay
Ito'y dakila at tapat habang buhay
Laging sariwa't lumalalim
Di magmamamaliw, di magwawakas
Ganyan ang pag-ibig ni Jesus na 
sadyang wagas

Si Jesus kung magpatawad ay lubusan.
Lilinisin ang kasalana'y kalilimutan
Kung gaano man kalayo ang 
kanluran sa silangan
Ganyan kadakila ang Kanyang 
pagmamahal

Pag-ibig Niya'y sadyang 
makapangyarihan
Nag-udyok sa akin na Siya ay 
paglingkuran
Namatay Siya upang tayo ay mabuhay
Para sa Kanya't di na sa sarili

Si Jesus kung umibig ay tunay
Ito'y dakila at tapat habang buhay
Laging sariwa't lumalalim
Di magmamamaliw, di magwawakas
Iyan ang pag-ibig ni Jesus
na sadyang wagas

Si Jesus kung magpatawad ay lubusan.
Lilinisin ang kasalana'y kalilimutan
Kung gaano man kalayo ang 
kanluran sa silangan
Ganyan kadakila ang 
Kanyang pagmamahal
Kung di para lamang kay Jesus."
1139;Di ako magsasawang purihin ka;;"Sa umaga pagkagising
Ngalan Mo'y pupurihin
Puso ko'y laging may awit para Sayo
Lagi kong nararanasan
Ka tapatan Mong walang hangan
Pag-ibig Mo'y laging sariwa
Sa araw araw

Di ako magsasawang purihin Ka
Buong puso't lakas minamahal Kita
Laging aawitin pag-ibig Mo sakin
Panginoong Hesus Purihin Ka

Sa umaga pagkagising
Ngalan Mo'y pupurihin
Puso ko'y laging may awit para Sayo
Lagi kong nararanasan
Ka tapatan Mong walang hangan
Pag-ibig Mo'y laging sariwa
Sa araw araw

Di ako magsasawang purihin Ka
Buong puso't lakas minamahal Kita
Laging aawitin pag-ibig Mo sakin
Panginoong Hesus Purihin Ka

Di ako magsasawang purihin Ka
Buong puso't lakas minamahal Kita
Laging aawitin pag-ibig Mo sakin
Panginoong Hesus Purihin Ka

Laging aawitin pag-ibig Mo sakin
Panginoong Hesus Purihin Ka
Panginoong Hesus Purihin Ka"
1140;Di Ka Nagkulang;;"Ikaw lang ang pag-asa ko
Tanging Ikaw ang buhay ko, Hesus
Kahit may suliranin man
Palagi kong aawitan
Ikaw lamang

Kaya't Ika'y sasambahin
Paligid man ay magdilim Hesus
Kahit ako'y nangangamba basta't
Ikaw ay kasama
Panatag na

Kahit kailan di ka nagkulang
Biyaya mo ay aki'y laging laan
Pag-ibig mo sa aki'y walang hangang
Inibig mo ako noon pa man"
1141;Di Ko Man Makita;D;"Di ko man Makita 
ang kagandahan ng buhay ko
Dito sa ibabaw 
ng mundong magulo
Ako'y patuloy, 
maglilingkod sa Kanya
At kailanma'y 
di ako mangangamba

Tawagin man nila 
akong isang panatiko
At pagtawanan 
nang dahil kay HesuKristo
Ako'y patuloy, 
maglilingkod sa Kanya
At kailanma'y 
di ako mangangamba

Pagka't aking alam 
darating ang isang araw
Pangarap ko'y matutupad, 
walang sinumang hahadlang
Ito'y sadyang ibinigay 
ni Hesus sa akin
Walang hanggang kasiyahan
Duon sa kalangitan 
at di pangarap lang"
1225;Draw me close to you;;"Draw me close to you
Never let me go
I lay it all down again
To hear you say that I'm Your friend

You are my desire
No one else will do
'Cause nothing else could take Your place
To feel the warmth of Your embrace

Help me find the way
Bring me back to You

You're all I want
You're all I've ever needed
You're all I want
Help me know You are near

Ilapit mo sayo
Nang di na malayo
muling handog ang buhay ko
Pagtanggap mo'y dalangin ko

Ikaw ang nais ko
Hangad ng puso ko
Ang yakap ng pag-ibig mo
Yamang higit pa sa mundo

Kahit pa malayo
Ako'y lingapin mo

Ikaw lamang
Hesus ang kailangan
Ikaw lamang
Sayo'y mananahan"
1590;Gantimpala Ko;;"Marami mang hadlang
Sa aking pagsunod
At kadalasa'y napapagod
Di mapipigil, patuloy na maglilingkod
Lagi kong mithiin ikaw at malugod

Buong kagalakan
Ikaw ay aking paglilingkuran
Nahihirapan man, kahit pa nasusugatan
Kasangkapanin mo
Ikaw ang tunay na may ari ng buhay na ito
Ano mang danasin ko
Basta't ikaw Hesus, ikaw ang gantimpala ko

Lubusang angkinin ang buhay na laan
Para lamang sa iyong kaluguran
Hindi man kita kayang higitaan
Laging susubukan ibigay sa iyo ang pinakamainam"
1847;Habang Buhay Medley;;"Habang buhay, papupurihan ka
Habambuhay, maglilingkod sa'yo
Habang buhay, pagibig ko sayo'y iaalay

At habang buhay, papupurihan ka
Habambuhay, maglilingkod sa'yo
Habang buhay, papuri ko sayo'y iaalay

Mahal na mahal kita Panginoon (2x)
Kailanma'y di kita ipagpapalit
Pagka't sa piling mo'y langit
Mahal na mahal kita Panginoon.

Habang buhay, papupurihan ka
Habambuhay, maglilingkod sa'yo
Habang buhay, pagibig ko sayo'y iaalay

Habang buhay, papupurihan ka
Habambuhay, maglilingkod sa'yo
Habang buhay, pagibig ko sayo'y iaalay

Kung aking mamasdan ang kalawakan
Hindi ko maunawaan ang Iyong dahilan
Kung bakit ako'y pinili mo't inalagaan
Di ko kayang isipin, hinding hindi ko kayang sukatin
Ang pagibig mo Hesus na 'yong ibinigay saakin

Salamat, salamat  O, Hesus sa pagibig mo
Walang ibang nagmahal sakin ng katulad mo
Salamat, salamat O, Hesus sa pagibig mo
Ako'y magsasaya sa piling mo

At kung may pagsubok man
O kagipitan Ika'y laging maasakan
Di ko kayang isipin, hinding hindi kayang sukatin
Ang pagibig mo Hesus na'yong ibinigay sa akin

Buhay ko na ang purihin ka
Buhay ko ng sayo'y sasamba
Wala ng ibang nanaisin pa
Kundi pasalamatan ka
[Repeat 3x]

Ako'y magsasaya sa piling mo
Mahal na mahal kita, Panginoon"
